File,SizeKB,DateCreated,DateModified,MD5,Notes
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\Magazine Hour = Script.DOC,86,1998-09-04,2017-12-14,236BCBE185498CE7DEB0284F605A254D,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\New Track Shorter Cuts.DOC,5.1,1998-09-04,2017-12-14,2EFED39296B01F9DAA19E6363C9B607F,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\Press release and credits.DOC,12.3,1998-09-04,2017-12-14,A362CD73E950A5DE6DA8B55D44C113AB,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\Promo Copy.DOC,4.6,1998-09-04,2017-12-14,17AB93CC1BBE7D2094786E070E05B505,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\Q and A Camp for Mag Hour.DOC,10.8,1998-09-04,2017-12-14,F57C5998EEEEBBB95128FBCAC183B950,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\Script Fax Tape file.DOC,5.1,1998-09-04,2017-12-14,F554E32DD618E346EFBDD8CC3B9F6619,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\SOT Bite List.DOC,10.2,1998-09-04,2017-12-14,BA2CCF59D46A8BE82E5D19C37AB40BCD,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\Split Version Tease.DOC,4.6,1998-09-04,2017-12-14,337E8C56FA3D5DB592A00042F61CC15B,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\Suggestions to Lane.DOC,6.1,1998-09-04,2017-12-14,E0F50447CEBD339AB8FEB96C60555C20,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Bank Secrets = Scripts\Video Shot List.DOC,10.2,1998-09-04,2017-12-14,4BC99ABA65D6146ADB0B50F490E81294,
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Folo up Info '97, etc\Folo Ltr London Nov97.DOC",63.5,1998-09-04,2017-12-14,9FC4D13CECA4EC0503196B0F27828AF7,
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Folo up Info '97, etc\Later Bank Bond Cases.DOC",59.4,1998-09-04,2017-12-14,72BA10AF2916FDC7D99E971E08AF1771,
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\Folo up Info '97, etc\Pending Case re Citibank.DOC",7.2,1998-09-04,2017-12-14,929E21CA5B70882B1F97208646A1D599,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = BANK SECRETS\PHONES = Bank Secrets.doc,13.8,1998-09-04,2017-12-14,E7E93CA45BDDECADCF4BD5647B9F1AF5,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\AIR CHINA TRADE.DOC,28.2,1998-09-04,2017-12-14,2D73FB7D1ECCA98539A36AFE24E762B2,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\Case Notes Arrivals 93.DOC,10.8,1998-09-04,2017-12-14,3B0F48113B015952A7E348E78449ABAB,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\Case Notes Chin Wing 18.DOC,14.3,1998-09-04,2017-12-14,477EAE3D81963E7310E7E5C97CDF627F,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\Case Notes Other Files\Case Notes Violence.DOC,10.2,1998-09-04,2017-12-14,701A218CF9C3569E292228A7F593780A,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\Case Notes Other Files\Case Notes Warehouse.DOC,10.2,1998-09-04,2017-12-14,3977B56AEBE0854D448FCAD775A95BA3,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\Case Notes Other Files\Case Notes What If.DOC,5.6,1998-09-04,2017-12-14,41BB0AE99535A1339D72FC335F29D8EB,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\Case Notes Other Files\Cases Previous Years.DOC,12.3,1998-09-04,2017-12-14,793F8ACD1552C5A608550D33C7B92D34,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\INS  Summary Notes.DOC,20,1998-09-04,2017-12-14,EFE1D03331FE3F4EDD657D842A8B87CE,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\INS Washington\Washn INS Folo up List.DOC,15.4,1998-09-04,2017-12-14,E27EBA705F0108CA9D28A6DA7A48E72D,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\INS Washington\Washn Notes Phoners.DOC,10.8,1998-09-04,2017-12-14,27DAA32DB29A30BE440BBAB465B863DA,
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1992-'94\AIR = 1993\AIR = CHINA TRADE\INS Washington\Washn Notes SUMMARY.DOC,13.8,1998-09-04,2017-12-14,54B7979A24E37B71B61257D55D80C4D7,
